Order,Family,Genus,Species,Subspecies,Genus_species,Sample size,Sex,Method,Body weight (g),SVL (mm),Brain weight (g),Brain volume (mm3),Age Class,Species Name in original article,Reference,Remark
Squamata,Lacertidae,Lacerta,viridis,,Lacerta_viridis,1,unknown,Mass,26,,0.134,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Lacertidae,Lacerta,viridis,,Lacerta_viridis,1,unknown,Mass,16.8,,0.093,,unknown,,Dubois E (1913) On the relation between the quantity of brain and the size of the body in vertebrates,
Squamata,Lacertidae,Lacerta,viridis,,Lacerta_viridis,1,unknown,Mass,21.2,,0.109,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Lacertidae,Lacerta,vivipara,,Zootoca_vivipara,1,unknown,Mass,3.2,,0.028,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Lacertidae,Psammodromus,algirus,,Psammodromus_algirus,1,unknown,Mass,4.3,,0.045,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Lacertidae,Psammodromus,hispanicus,,Psammodromus_hispanicus,1,unknown,Mass,2.1,,0.025,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Opluridae,Chalarodon,madagascariensis,,Chalarodon_madagascariensis,1,unknown,Mass,6.3,,0.06,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Opluridae,Oplurus,cuvieri,,Oplurus_cuvieri,1,unknown,Mass,51,,0.267,,Adult,Hoplurus sebae,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Phrynosomatidae,Phrynosoma,coronatum,,Phrynosoma_coronatum,3,f,Mass,24.9,,0.1269,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,Arizona
Squamata,Phrynosomatidae,Phrynosoma,coronatum,,Phrynosoma_coronatum,2,m,Mass,25,,0.1383,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,Arizona
Squamata,Pythonidae,Python,molurus,,Python_molurus,1,unknown,Mass,6140,,1.123,,Adult,,Crile G and Quiring DP (1940) Ohio J Sci 5:219-285,
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,f,Mass,1.48,42,0.019,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,f,Mass,1.24,41,0.0194,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,f,Mass,1.12,40,0.0167,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,f,Mass,1.28,38,0.0171,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,2.32,46,0.0304,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,2.08,45,0.023,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,2.28,43,0.022,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.93,43,0.0028,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.76,42,0.0228,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.7,41,0.0241,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.12,39,0.0204,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.18,37,0.0174,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.18,36,0.0175,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Carlia,bicarinata,,Carlia_bicarinata,1,m,Mass,1.14,36,0.0184,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Chalcides,chalcides,,Chalcides_chalcides,1,unknown,Mass,18.8,,0.0555,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Scincidae,Chalcides,mionecton,,Chalcides_mionecton,1,unknown,Mass,6.4,,0.03,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Scincidae,Chalcides,ocellatus,,Chalcides_ocellatus,1,unknown,Mass,32,,0.09,,Adult,,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,1.01,45,0.0143,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,0.89,42,0.012,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,0.95,40,0.0115,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,0.88,40,0.0116,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,0.86,40,0.0123,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,0.8,38.5,0.0102,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,f,Mass,0.58,34,0.0096,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.94,41,0.0116,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.99,40,0.0116,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.88,39,0.0114,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.91,38,0.0129,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.65,38,0.0105,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.8,37,0.0109,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.8,37,0.0116,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.68,37,0.0103,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.67,37,0.012,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.62,37,0.0096,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cryptoblepharus,virgatus,,Cryptoblepharus_virgatus,1,m,Mass,0.64,34,0.0097,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cyrtodactylus,sp.,,Cyrtodactylus_sp.,1,f,Mass,2.48,50,0.0286,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cyrtodactylus,sp.,,Cyrtodactylus_sp.,1,f,Mass,1.98,44,0.021,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cyrtodactylus,sp.,,Cyrtodactylus_sp.,1,f,Mass,1.55,42,0.0209,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cyrtodactylus,sp.,,Cyrtodactylus_sp.,1,f,Mass,1.34,38,0.0145,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cyrtodactylus,sp.,,Cyrtodactylus_sp.,1,m,Mass,2.03,45,0.0242,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Cyrtodactylus,sp.,,Cyrtodactylus_sp.,1,m,Mass,2.12,44,0.023,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,f,Mass,2.81,55,0.037,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,f,Mass,2.64,51,0.0268,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,f,Mass,2.23,49,0.0262,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,4.86,57,0.0446,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,4.15,57,0.0428,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,3.66,54,0.0379,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,3.27,51,0.0369,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,2.39,49,0.028,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,2.4,48,0.0281,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Emoia,pallidiceps,,Emoia_pallidiceps,1,m,Mass,2.08,46,0.0308,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Eumeces,schneideri,,Eumeces_schneideri,1,unknown,Mass,51.7,,0.1715,,Adult,Eumeces schneiderii,Platel R (1975) Z. Zool. Syst. Evolutionsforsh. 13:161-184,
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,3.83,52,0.0289,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,3.2,50,0.0294,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,3.41,49,0.0289,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,2.46,48,0.0263,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,2.42,46,0.0248,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,2.15,46,0.0257,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,2.11,46,0.0234,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,1.99,46,0.0242,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,2.35,45,0.028,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,2.18,44,0.0235,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,f,Mass,1.19,38,0.0204,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,5,59,0.0373,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,4.84,59,0.0387,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,4.74,56,0.0422,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,4.47,56,0.0361,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,4.28,56,0.037,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,3.09,49,0.0332,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,3.02,49,0.0303,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,2.76,49,0.0286,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,2.85,47,0.0282,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
Squamata,Scincidae,Hemidactylus,frenatus,,Hemidactylus_frenatus,1,m,Mass,2.22,46,0.0276,,Adult,,"Black DG (1983) Encephalization of Australian lizards. Unpublished MSc thesis, Monash University, Clayton, Australia.",
